"Combination","SSD_BLUP","SSD_GBLUP"
"elim_5_8",19.1245402180587,14.5645370910386
"elim_5_9",19.1574138663891,13.5111949016147
"elim_5_10",18.9480888258829,14.236692274204
"elim_6_7",20.0582923958987,15.7996805873066
"elim_6_8",20.0582923958987,15.5847054927763
"elim_6_9",20.1259459347444,14.4643176613385
"elim_6_10",20.4926324480879,15.8535918588757
"elim_7_8",19.2928094474429,15.7816469680797
"elim_7_9",19.3088141890782,14.8115526811263
"elim_7_10",19.1816116017448,15.7721268962004
"elim_8_9",19.3088141890782,14.5767763737968
"elim_8_10",19.1816116017448,15.2762059620725
"elim_9_10",19.1197290428924,14.1613313386328
"elim_1_2_3",20.8165738979829,15.4362393132435
"elim_1_2_4",16.6048959749068,12.739860740414
"elim_1_2_5",17.9723203217703,12.876992126453
"elim_1_2_6",19.1313667269218,13.9717935721116
"elim_1_2_7",18.2114513052771,14.0514226336667
"elim_1_2_8",18.2114513052771,13.9906891889054
"elim_1_2_9",18.2211260290827,12.8573143107751
"elim_1_2_10",17.7898356905531,13.4901599706414
"elim_1_3_4",20.5820402551785,15.9602528328067
"elim_1_3_5",20.9290802563269,15.5956847063487
"elim_1_3_6",22.2996683393741,16.3370407425484
"elim_1_3_7",21.1886020318615,17.4561851228241
"elim_1_3_8",21.1886020318615,16.8421027429606
"elim_1_3_9",21.5792159306635,15.5928323617006
"elim_1_3_10",21.2173815761076,16.1171742580369
"elim_1_4_5",17.1347402311381,12.7466468690713
"elim_1_4_6",18.0568222979973,13.6806063295187
"elim_1_4_7",17.5212488233597,14.194044107293
"elim_1_4_8",17.5212488233597,13.9049531475475
"elim_1_4_9",17.3055153946205,12.5668112734098
"elim_1_4_10",17.0049271271771,13.1417017659404
"elim_1_5_6",19.1598875808169,13.7791118871871
"elim_1_5_7",18.421047042673,14.1963697553124
"elim_1_5_8",18.421047042673,13.9189783351571
"elim_1_5_9",18.401560155466,12.6805241806076
"elim_1_5_10",17.9618473101924,13.3827574400553
"elim_1_6_7",19.4345154049699,15.1518266610486
"elim_1_6_8",19.4345154049699,14.9919342846208
"elim_1_6_9",19.4546461817434,13.6533766365711
"elim_1_6_10",19.7229258384461,15.1757572725197
"elim_1_7_8",18.6714931666484,15.2108114172893
"elim_1_7_9",18.6409970196942,14.0546612704209
"elim_1_7_10",18.3394640035546,15.08514492418
"elim_1_8_9",18.6409970196942,13.9083922780603
